Species,Parity,Reference
Amphiesma_concelarum,0,[19]
Amphiesma_craspedogaster,0,[19]
Amphiesma_deschauenseei,0,[19]
Amphiesma_flavifrons,0,[19]
Amphiesma_frenatum,0,[19]
Amphiesma_groundwateri,0,[19]
Amphiesma_inas,0,[19]
Amphiesma_ishigakiense,1,[19]
Amphiesma_johannis,0,[19]
Amphiesma_kerinciense,0,[19]
Amphiesma_khasiense,0,[19]
Amphiesma_leucomystax,0,[19]
Amphiesma_metusia,0,[19]
Amphiesma_miyajimae,0,[19]
Amphiesma_modestum,0,[19]
Amphiesma_monticola,0,[19]
Amphiesma_nicobariense,0,[19]
Amphiesma_octolineatum,0,[19]
Amphiesma_optatum,0,[19]
Amphiesma_parallelum,0,[19]
Amphiesma_pealii,0,[19]
Amphiesma_petersii,0,[19]
Amphiesma_platyceps,0,[19]
Amphiesma_popei,0,[19]
Amphiesma_pryeri,0,[19]
Amphiesma_sanguineum,0,[19]
Amphiesma_sarasinorum,0,[19]
Amphiesma_sarawacense,0,[19]
Amphiesma_sauteri,0,[19]
Amphiesma_sieboldii,0,[19]
Amphiesma_stolatum,0,[19]
Amphiesma_venningi,0,[19]
Amphiesma_vibakari,0,[19]
Amphiesma_viperinum,0,[19]
Amphiesma_xenura,0,[19]
Amphiesmoides_ornaticeps,0,[19]
Amphiglossus_astrolabi,0,[23]
Amphiglossus_frontoparietalis,0,[23]
Amphiglossus_macrocercus,1,[23]
Amphiglossus_reticulatus,0,[23]
Amphisbaena_alba,0,[1]
Amphisbaena_anaemariae,0,[1]
Amphisbaena_angustifrons,0,[1]
Amphisbaena_arda,0,[1]
Amphisbaena_arenaria,0,[1]
Amphisbaena_bakeri,0,[1]
Amphisbaena_barbouri,0,[1]
Amphisbaena_bolivica,0,[1]
Amphisbaena_caeca,0,[1]
Amphisbaena_camura,0,[1]
Amphisbaena_carlgansi,0,[1]
Amphisbaena_carvalhoi,0,[1]
Amphisbaena_caudalis,0,[1]
Amphisbaena_cayemite,0,[1]
Amphisbaena_cegei,0,[1]
Amphisbaena_crisae,0,[1]
Amphisbaena_cubana,0,[1]
Amphisbaena_cunhai,0,[1]
Amphisbaena_darwini,0,[1]
Amphisbaena_dubia,0,[1]
Amphisbaena_fenestrata,0,[1]
Amphisbaena_frontalis,0,[1]
Amphisbaena_fuliginosa,0,[1]
Amphisbaena_gonavensis,0,[1]
Amphisbaena_gracilis,0,[1]
Amphisbaena_hastata,0,[1]
Amphisbaena_heathi,0,[1]
Amphisbaena_hiata,0,[1]
Amphisbaena_hogei,0,[1]
Amphisbaena_hyporissor,0,[1]
Amphisbaena_ibijara,0,[1]
Amphisbaena_ignatiana,0,[1]
Amphisbaena_innocens,0,[1]
Amphisbaena_leali,0,[1]
Amphisbaena_leeseri,0,[1]
Amphisbaena_leucocephala,0,[1]
Amphisbaena_lumbricalis,0,[1]
Amphisbaena_manni,0,[1]
Amphisbaena_medemi,0,[1]
Amphisbaena_mensae,0,[1]
Amphisbaena_mertensii,0,[1]
Amphisbaena_miringoera,0,[1]
Amphisbaena_mitchelli,0,[1]
Amphisbaena_munoai,0,[1]
Amphisbaena_myersi,0,[1]
Amphisbaena_neglecta,0,[1]
Amphisbaena_nigricauda,0,[1]
Amphisbaena_occidentalis,0,[1]
Amphisbaena_pericensis,0,[1]
Amphisbaena_plumbea,0,[1]
Amphisbaena_polygrammica,0,[1]
Amphisbaena_pretrei,0,[1]
Amphisbaena_prunicolor,0,[1]
Amphisbaena_ridleyi,0,[1]
Amphisbaena_rozei,0,[1]
Amphisbaena_sanctaeritae,0,[1]
Amphisbaena_schmidti,0,[1]
Amphisbaena_silvestrii,0,[1]
Amphisbaena_slateri,0,[1]
Amphisbaena_slevini,0,[1]
Amphisbaena_spurelli,0,[1]
Amphisbaena_stejnegeri,0,[1]
Amphisbaena_talisiae,0,[1]
Amphisbaena_townsendi,0,[1]
Amphisbaena_tragorrhectes,0,[1]
Amphisbaena_uroxena,0,[1]
Amphisbaena_vanzolinii,0,[1]
Amphisbaena_vermicularis,0,[1]
Amphisbaena_xera,0,[1]
Amplorhinus_multimaculatus,1,[21]
Anadia_altaserrania,0,[9]
Anadia_bitaeniata,0,[9]
Anadia_blakei,0,[9]
Anadia_bogotensis,0,[9]
Anadia_brevifrontalis,0,[9]
Anadia_bumanguesa,0,[9]
Anadia_hobarti,0,[9]
Anadia_marmorata,0,[9]
Anadia_ocellata,0,[9]
Anadia_pamplonensis,0,[9]
Anadia_pariaensis,0,[9]
Anadia_petersi,0,[9]
Anadia_pulchella,0,[9]
Anadia_rhombifera,0,[9]
Anadia_steyeri,0,[9]
Anadia_vittata,0,[9]
Anatololacerta_anatolica,0,[11]
Anatololacerta_danfordi,0,[11]
Anatololacerta_oertzeni,0,[11]
Ancylocranium_barkeri,0,[1]
Ancylocranium_ionidesi,0,[1]
Ancylocranium_somalicum,0,[1]
Androngo_trivittatus,0,[23]
Anelytropsis_papillosus,0,[8]
Anguis_cephallonica,1,[3]
Anguis_fragilis,1,[3]
Anilius_scytale,1,[15]
Anisolepis_grilli,0,[7]
Anisolepis_longicauda,0,[7]
Anisolepis_undulatus,0,[7]
Anniella_geronimensis,1,[3]
Anniella_pulchra,1,[3]
Anolis_achilles,0,[7]
Anolis_acutus,0,[7]
Anolis_adleri,0,[7]
Anolis_aeneus,0,[7]
Anolis_aequatorialis,0,[7]
Anolis_agassizi,0,[7]
Anolis_agueroi,0,[7]
Anolis_ahli,0,[7]
Anolis_alayoni,0,[7]
Anolis_alfaroi,0,[7]
Anolis_aliniger,0,[7]
Anolis_allisoni,0,[7]
Anolis_allogus,0,[7]
Anolis_altae,0,[7]
Anolis_altavelensis,0,[7]
Anolis_alumina,0,[7]
Anolis_alutaceus,0,[7]
Anolis_alvarezdeltoroi,0,[7]
Anolis_amplisquamosus,0,[7]
Anolis_anatoloros,0,[7]
Anolis_anfiloquioi,0,[7]
Anolis_angusticeps,0,[7]
Anolis_anisolepis,0,[7]
Anolis_annectens,0,[7]
Anolis_antioquiae,0,[7]
Anolis_antonii,0,[7]
Anolis_apletophallus,0,[7]
Anolis_apollinaris,0,[7]
Anolis_aquaticus,0,[7]
Anolis_argenteolus,0,[7]
Anolis_argillaceus,0,[7]
Anolis_armouri,0,[7]
Anolis_attenuatus,0,[7]
Anolis_auratus,0,[7]
Anolis_baccatus,0,[7]
Anolis_bahorucoensis,0,[7]
Anolis_baleatus,0,[7]
Anolis_baracoae,0,[7]
Anolis_barahonae,0,[7]
Anolis_barbatus,0,[7]
Anolis_barbouri,0,[7]
Anolis_barkeri,0,[7]
Anolis_bartschi,0,[7]
Anolis_bellipeniculus,0,[7]
Anolis_bicaorum,0,[7]
Anolis_bimaculatus,0,[7]
Anolis_binotatus,0,[7]
Anolis_biporcatus,0,[7]
Anolis_birama,0,[7]
Anolis_bitectus,0,[7]
Anolis_blanquillanus,0,[7]
Anolis_bocourtii,0,[7]
Anolis_boettgeri,0,[7]
Anolis_bombiceps,0,[7]
Anolis_bonairensis,0,[7]
Anolis_breedlovei,0,[7]
Anolis_bremeri,0,[7]
Anolis_brevirostris,0,[7]
Anolis_brunneus,0,[7]
Anolis_calimae,0,[7]
Anolis_campbelli,0,[7]
Anolis_capito,0,[7]
Anolis_caquetae,0,[7]
Anolis_carlostoddi,0,[7]
Anolis_carolinensis,0,[7]
Anolis_carpenteri,0,[7]
Anolis_casildae,0,[7]
Anolis_caudalis,0,[7]
Anolis_centralis,0,[7]
Anolis_chamaeleonides,0,[7]
Anolis_chloris,0,[7]
Anolis_chlorocyanus,0,[7]
Anolis_chocorum,0,[7]
Anolis_christophei,0,[7]
Anolis_chrysolepis,0,[7]
Anolis_clivicola,0,[7]
Anolis_cobanensis,0,[7]
Anolis_coelestinus,0,[7]
Anolis_compressicauda,0,[7]
Anolis_concolor,0,[7]
Anolis_confusus,0,[7]
Anolis_conspersus,0,[7]
Anolis_cooki,0,[7]
Anolis_crassulus,0,[7]
Anolis_cristatellus,0,[7]
Anolis_cristifer,0,[7]
Anolis_cryptolimifrons,0,[7]
Anolis_cumingii,0,[7]
Anolis_cupeyalensis,0,[7]
Anolis_cupreus,0,[7]
Anolis_cuprinus,0,[7]
Anolis_cuscoensis,0,[7]
Anolis_cusuco,0,[7]
Anolis_cuvieri,0,[7]
Anolis_cyanopleurus,0,[7]
Anolis_cybotes,0,[7]
Anolis_cymbops,0,[7]
Anolis_damulus,0,[7]
Anolis_danieli,0,[7]
Anolis_darlingtoni,0,[7]
Anolis_datzorum,0,[7]
Anolis_delafuentei,0,[7]
Anolis_deltae,0,[7]
Anolis_desechensis,0,[7]
Anolis_dissimilis,0,[7]
Anolis_distichus,0,[7]
Anolis_dolichocephalus,0,[7]
Anolis_dollfusianus,0,[7]
Anolis_duellmani,0,[7]
Anolis_dunni,0,[7]
Anolis_eewi,0,[7]
Anolis_equestris,0,[7]
