Matrix,Tree
Ramphotyphlops_acuticauda,Ramphotyphlops_acuticaudus
Rhacodactylus_chahoua,Mniarogekko_chahoua
Rhacodactylus_ciliatus,Correlophus_ciliatus
Rhacodactylus_sarasinorum,Correlophus_sarasinorum
Rhadinophis_frenatum,Rhadinophis_frenatus
Rhadinophis_prasina,Rhadinophis_prasinus
Rhinoplocephalus_nigrescens,Cryptophis_nigrescens
Rhinotyphlops_feae,Letheobia_feae
Rhinotyphlops_newtoni,Letheobia_newtoni
Rhinotyphlops_schlegelii,Megatyphlops_schlegelii
Salea_kakhienensis,Pseudocalotes_kakhienensis
Saproscincus_oriarius,Saproscincus_oriarus
Sphenomorphus_abdictus,Pinoyscincus_abdictus
Sphenomorphus_aesculeticola,Tytthoscincus_aesculeticola
Sphenomorphus_arborens,Insulasaurus_arborens
Sphenomorphus_assatus,Scincella_assatus
Sphenomorphus_atrigularis,Tytthoscincus_atrigularis
Sphenomorphus_beyeri,Parvoscincus_beyeri
Sphenomorphus_cherriei,Scincella_cherriei
Sphenomorphus_coxi,Pinoyscincus_coxi
Sphenomorphus_cumingi,Otosaurus_cumingi
Sphenomorphus_decipiens,Parvoscincus_decipiens
Sphenomorphus_hallieri,Tytthoscincus_hallieri
Sphenomorphus_jagori,Pinoyscincus_jagori
Sphenomorphus_kitangladensis,Parvoscincus_kitangladensis
Sphenomorphus_laterimaculatus,Parvoscincus_laterimaculatus
Sphenomorphus_lawtoni,Parvoscincus_lawtoni
Sphenomorphus_leucospilos,Parvoscincus_leucospilos
Sphenomorphus_llanosi,Pinoyscincus_llanosi
Sphenomorphus_luzonense,Parvoscincus_luzonense
Sphenomorphus_mindanensis,Pinoyscincus_mindanensis
Sphenomorphus_parvus,Tytthoscincus_parvus
Sphenomorphus_steerei,Parvoscincus_steerei
Sphenomorphus_tagapayo,Parvoscincus_tagapayo
Sphenomorphus_victoria,Insulasaurus_victoria
Sphenomorphus_wrighti,Insulasaurus_wrighti
Stenodactylus_khobarensis,Pseudoceramodactylus_khobarensis
Stenophis_betsileanus,Parastenophis_betsileanus
Stenophis_citrinus,Lycodryas_citrinus
Stenophis_granuliceps,Lycodryas_granuliceps
Stenophis_inopinae,Lycodryas_inopinae
Stenophis_inornatus,Lycodryas_inornatus
Stenophis_pseudogranuliceps,Lycodryas_pseudogranuliceps
Stoliczkaia_borneensis,Stoliczkia_borneensis
